estproduto,pronome,tn,unimedida,estfilho,pronome,unimedida,fase,estqtduso
360609000014,MAQUINA DE PRE-LIMPEZA MODELO MLEC-240 N° AC00014 ,240,UF,360605000037,MODULO ITENS FREQUENCIA 60HZ AC240 - SEW          ,UN,90,1.0000
360609000014,MAQUINA DE PRE-LIMPEZA MODELO MLEC-240 N° AC00014 ,240,UF,360602000269,TUBO D560 X 1180                                  ,UN,90,5.0000
360609000014,MAQUINA DE PRE-LIMPEZA MODELO MLEC-240 N° AC00014 ,240,UF,360605000016,MODULO FUNIL SAIDA D320                           ,UN,90,1.0000
360609000014,MAQUINA DE PRE-LIMPEZA MODELO MLEC-240 N° AC00014 ,240,UF,360601000059,MODULO EXTREMIDADE PENEIRA D 9                    ,UN,90,4.0000
360609000014,MAQUINA DE PRE-LIMPEZA MODELO MLEC-240 N° AC00014 ,240,UF,360605000003,CJ REGULADOR DE FLUXO                             ,UN,70,4.0000
360609000014,MAQUINA DE PRE-LIMPEZA MODELO MLEC-240 N° AC00014 ,240,UF,360602000199,CURVA 45GR D560 R1120                             ,UN,90,2.0000
360609000014,MAQUINA DE PRE-LIMPEZA MODELO MLEC-240 N° AC00014 ,240,UF,360605000013,CICLONE D1500 AC 180/240                          ,UN,90,1.0000
360609000014,MAQUINA DE PRE-LIMPEZA MODELO MLEC-240 N° AC00014 ,240,UF,360601000073,MODULO EXTREMIDADE PENEIRA D 4.5                  ,UN,90,8.0000
360609000014,MAQUINA DE PRE-LIMPEZA MODELO MLEC-240 N° AC00014 ,240,UF,360602000198,BOCAL DE SAIDA D560                               ,UN,90,1.0000
360609000014,MAQUINA DE PRE-LIMPEZA MODELO MLEC-240 N° AC00014 ,240,UF,360601000060,MODULO EXTREMIDADE PENEIRA PARCIAL D 9            ,UN,90,4.0000
360609000014,MAQUINA DE PRE-LIMPEZA MODELO MLEC-240 N° AC00014 ,240,UF,360605000033,MAQUINA AC 240                                    ,UN,90,1.0000
360609000014,MAQUINA DE PRE-LIMPEZA MODELO MLEC-240 N° AC00014 ,240,UF,360601000070,MODULO INTERMEDIARIO PENEIRA D 4.5                ,UN,90,4.0000
360609000014,MAQUINA DE PRE-LIMPEZA MODELO MLEC-240 N° AC00014 ,240,UF,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,UN,90,4.0000
360609000014,MAQUINA DE PRE-LIMPEZA MODELO MLEC-240 N° AC00014 ,240,UF,360602000279,TRANSICAO DE SAIDA DE IMPUREZA D240               ,UN,90,1.0000
360609000014,MAQUINA DE PRE-LIMPEZA MODELO MLEC-240 N° AC00014 ,240,UF,360602000310,PRESILHA SOLDADA D560                             ,UN,90,3.0000
360609000015,MAQUINA DE PRE-LIMPEZA MODELO MLEC-240 N° AC00015 ,240,UN,360602000199,CURVA 45GR D560 R1120                             ,UN,90,3.0000
360609000015,MAQUINA DE PRE-LIMPEZA MODELO MLEC-240 N° AC00015 ,240,UN,360605000003,CJ REGULADOR DE FLUXO                             ,UN,90,4.0000
360609000015,MAQUINA DE PRE-LIMPEZA MODELO MLEC-240 N° AC00015 ,240,UN,360601000071,MODULO EXTREMIDADE PENEIRA D 3.5                  ,UN,90,8.0000
