tn,total_maq,estfilho,pronome.1,quantity_usage,percentage_usage
60,53,351503001513,CURVA FUNDIDA D200 30°                            ,1,1.8867924528301887
60,53,351503002316,CURVA FUNDIDA D150 30°                            ,1,1.8867924528301887
60,53,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,23,43.39622641509434
60,53,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,23,43.39622641509434
60,53,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,23,43.39622641509434
60,53,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,23,43.39622641509434
60,53,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,23,43.39622641509434
60,53,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,23,43.39622641509434
60,53,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,23,43.39622641509434
60,53,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,23,43.39622641509434
60,53,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,23,43.39622641509434
60,53,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,23,43.39622641509434
60,53,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,23,43.39622641509434
60,53,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,23,43.39622641509434
60,53,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,23,43.39622641509434
60,53,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,23,43.39622641509434
60,53,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,23,43.39622641509434
60,53,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,23,43.39622641509434
60,53,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,23,43.39622641509434
60,53,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,23,43.39622641509434
60,53,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,23,43.39622641509434
60,53,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,23,43.39622641509434
60,53,360601000058,MODULO INTERMEDIARIO PENEIRA D 9                  ,23,43.39622641509434
